,alchemyGraph.json,index.html,result.json,state100.html,state102.html,state104.html,state106.html,state108.html,state11.html,state110.html,state112.html,state114.html,state12.html,state13.html,state16.html,state17.html,state19.html,state20.html,state22.html,state23.html,state25.html,state27.html,state29.html,state30.html,state32.html,state34.html,state36.html,state38.html,state39.html,state41.html,state43.html,state45.html,state47.html,state48.html,state5.html,state50.html,state52.html,state54.html,state56.html,state57.html,state59.html,state6.html,state61.html,state63.html,state65.html,state67.html,state68.html,state7.html,state70.html,state72.html,state74.html,state76.html,state78.html,state79.html,state81.html,state83.html,state85.html,state87.html,state88.html,state9.html,state90.html,state92.html,state94.html,state96.html,state98.html
a,,0.04,,0.03,0.02,0.02,0.03,0.02,0.04,0.02,0.03,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.02,0.03,0.03,0.02,0.02,0.04,0.03,0.03,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.03
b,,,,,0.01,0.01,,0.01,,0.01,,0.01,0.00,,0.00,,,,0.00,,,,0.00,,,,0.01,0.00,,,,0.01,0.00,,,,,0.01,0.00,,,,,0.01,,0.00,,,,,0.01,0.01,0.00,,,,0.01,0.00,,,,,0.01,,
body,,0.01,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
br,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
button,,0.01,,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01
dd,,,,,,,,,,,,,0.01,,0.01,,,,0.02,,,,0.01,,,,,0.01,,,,,0.02,,,,,,0.01,,,,,,,0.01,,,,,,,0.01,,,,,0.02,,,,,,,
div,,0.07,,0.09,0.07,0.06,0.09,0.07,0.02,0.07,0.09,0.07,0.03,0.11,0.03,0.11,0.09,0.09,0.03,0.11,0.09,0.09,0.03,0.11,0.09,0.09,0.07,0.03,0.11,0.09,0.09,0.07,0.02,0.11,0.08,0.09,0.09,0.07,0.03,0.11,0.09,0.11,0.09,0.07,0.09,0.03,0.11,0.10,0.09,0.09,0.07,0.07,0.03,0.11,0.09,0.09,0.06,0.03,0.11,0.04,0.09,0.09,0.07,0.09,0.09
dl,,,,,,,,,,,,,0.00,,0.00,,,,0.01,,,,0.00,,,,,0.00,,,,,0.01,,,,,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,0.01,,,,,,,
dt,,,,,,,,,,,,,0.01,,0.01,,,,0.02,,,,0.01,,,,,0.01,,,,,0.02,,,,,,0.01,,,,,,,0.01,,,,,,,0.01,,,,,0.02,,,,,,,
form,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00
